"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals"
"Lovosice","Hranice",32,29
"Dukla","Jicín",26,18
"Plzen","Frýdek-Místek",30,27
"Frýdek-Místek","Dukla",17,26
"Jicín","Lovosice",27,27
"Hranice","Plzen",28,23
"Dukla","Lovosice",29,21
"Plzen","Jicín",30,18
"Frýdek-Místek","Hranice",26,27
"Lovosice","Plzen",28,29
"Hranice","Dukla",22,20
"Jicín","Frýdek-Místek",25,23
"Hranice","Jicín",26,21
"Dukla","Plzen",13,18
"Frýdek-Místek","Lovosice",25,28
"Frýdek-Místek","Plzen",23,31
"Jicín","Dukla",23,20
"Hranice","Lovosice",29,27
"Dukla","Frýdek-Místek",28,27
"Lovosice","Jicín",28,23
"Plzen","Hranice",29,22
"Lovosice","Dukla",26,20
"Jicín","Plzen",21,22
"Hranice","Frýdek-Místek",25,24
"Dukla","Hranice",21,22
"Plzen","Lovosice",30,28
"Frýdek-Místek","Jicín",24,23
"Plzen","Dukla",26,22
"Lovosice","Frýdek-Místek",23,21
"Jicín","Hranice",18,24
"KP Brno","Zubrí",26,24
"Koprivnice","Zlín",38,30
"Karviná","Prerov",28,22
"Prerov","Koprivnice",33,28
"Zlín","KP Brno",29,26
"Zubrí","Karviná",39,25
"Koprivnice","KP Brno",28,26
"Prerov","Zubrí",31,33
"Karviná","Zlín",27,26
"Zlín","Prerov",37,29
"Zubrí","Koprivnice",32,23
"KP Brno","Karviná",26,26
"Prerov","KP Brno",31,28
"Koprivnice","Karviná",30,31
"Zlín","Zubrí",31,28
"Zubrí","KP Brno",23,23
"Zlín","Koprivnice",26,29
"Prerov","Karviná",28,27
"KP Brno","Zlín",29,20
"Koprivnice","Prerov",33,26
"Karviná","Zubrí",28,27
"KP Brno","Koprivnice",32,30
"Zubrí","Prerov",32,25
"Zlín","Karviná",26,26
"Koprivnice","Zubrí",28,31
"Karviná","KP Brno",28,26
"Prerov","Zlín",23,28
"KP Brno","Prerov",28,29
"Zubrí","Zlín",24,20
"Karviná","Koprivnice",32,20
"Jicín","Zubrí",23,22
"Koprivnice","Zlín",31,32
"Dukla","Prerov",29,26
"Karviná","Hranice",26,26
"KP Brno","Plzen",21,20
"Frýdek-Místek","Lovosice",30,26
"Zubrí","Koprivnice",27,26
"Lovosice","Karviná",24,30
"Prerov","Jicín",25,33
"Hranice","Dukla",27,19
"Plzen","Frýdek-Místek",31,21
"Zlín","KP Brno",21,23
"Dukla","Lovosice",26,26
"Jicín","Hranice",24,23
"Zubrí","Prerov",35,26
"Koprivnice","KP Brno",29,24
"Frýdek-Místek","Zlín",29,20
"Karviná","Plzen",26,22
"Lovosice","Jicín",29,25
"KP Brno","Frýdek-Místek",28,28
"Hranice","Zubrí",30,25
"Plzen","Dukla",22,23
"Zlín","Karviná",20,26
"Prerov","Koprivnice",36,29
"Dukla","Zlín",32,24
"Koprivnice","Frýdek-Místek",28,29
"Jicín","Plzen",15,19
"Prerov","Hranice",26,24
"Karviná","KP Brno",24,19
"Zubrí","Lovosice",27,33
"Frýdek-Místek","Karviná",30,25
"Hranice","Koprivnice",40,29
"KP Brno","Dukla",26,24
"Plzen","Zubrí",30,16
"Zlín","Jicín",26,29
"Lovosice","Prerov",32,26
"Hranice","Lovosice",27,26
"Dukla","Frýdek-Místek",36,26
"Jicín","KP Brno",26,24
"Zubrí","Zlín",24,25
"Koprivnice","Karviná",30,34
"Plzen","Prerov",35,19
"Lovosice","Koprivnice",32,24
"Plzen","Hranice",25,18
"Frýdek-Místek","Jicín",28,22
"Karviná","Dukla",26,20
"KP Brno","Zubrí",28,23
"Zlín","Prerov",30,26
"Prerov","KP Brno",23,36
"Jicín","Karviná",24,20
"Zubrí","Frýdek-Místek",26,32
"Koprivnice","Dukla",26,26
"Hranice","Zlín",31,22
"Lovosice","Plzen",18,22
"Plzen","Koprivnice",36,25
"Lovosice","Zlín",24,21
"Dukla","Jicín",29,23
"Karviná","Zubrí",26,28
"Frýdek-Místek","Prerov",42,29
"KP Brno","Hranice",24,26
"Lovosice","KP Brno",21,16
"Koprivnice","Jicín",16,22
"Plzen","Zlín",20,17
"Zubrí","Dukla",23,29
"Prerov","Karviná",33,28
"Hranice","Frýdek-Místek",31,32
"Lovosice","Frýdek-Místek",33,25
"Zubrí","Jicín",22,24
"Prerov","Dukla",26,30
"Hranice","Karviná",27,31
"Plzen","KP Brno",30,18
"Zlín","Koprivnice",34,22
"Dukla","Hranice",33,22
"KP Brno","Zlín",38,19
"Jicín","Prerov",37,21
"Koprivnice","Zubrí",23,30
"Karviná","Lovosice",22,27
"Frýdek-Místek","Plzen",16,27
"Plzen","Karviná",30,27
"KP Brno","Koprivnice",33,29
"Lovosice","Dukla",31,26
"Prerov","Zubrí",22,38
"Hranice","Jicín",22,29
"Zlín","Frýdek-Místek",24,28
"Jicín","Lovosice",26,24
"Dukla","Plzen",25,27
"Koprivnice","Prerov",34,31
"Zubrí","Hranice",29,33
"Karviná","Zlín",25,23
"Frýdek-Místek","KP Brno",19,20
"Plzen","Jicín",23,19
"Lovosice","Zubrí",36,31
"KP Brno","Karviná",29,26
"Hranice","Prerov",24,21
"Zlín","Dukla",27,22
"Frýdek-Místek","Koprivnice",24,18
"Prerov","Lovosice",21,30
"Jicín","Zlín",24,20
"Zubrí","Plzen",21,31
"Koprivnice","Hranice",28,34
"Dukla","KP Brno",27,24
"Karviná","Frýdek-Místek",28,23
"Prerov","Plzen",22,30
"Lovosice","Hranice",33,26
"Karviná","Koprivnice",36,30
"Zlín","Zubrí",28,21
"Frýdek-Místek","Dukla",33,26
"KP Brno","Jicín",25,21
"Koprivnice","Lovosice",28,36
"Jicín","Frýdek-Místek",28,29
"Zubrí","KP Brno",30,25
"Prerov","Zlín",24,28
"Hranice","Plzen",24,22
"Dukla","Karviná",27,25
"KP Brno","Prerov",30,28
"Plzen","Lovosice",19,21
"Dukla","Koprivnice",35,25
"Karviná","Jicín",23,20
"Zlín","Hranice",28,31
"Frýdek-Místek","Zubrí",26,25
"Zubrí","Karviná",28,27
"Koprivnice","Plzen",24,24
"Prerov","Frýdek-Místek",29,26
"Hranice","KP Brno",29,23
"Zlín","Lovosice",17,27
"Jicín","Dukla",21,17
"Jicín","Koprivnice",32,21
"Dukla","Zubrí",32,24
"Karviná","Prerov",27,22
"KP Brno","Lovosice",25,24
"Zlín","Plzen",23,25
"Frýdek-Místek","Hranice",27,32
